"Year","StateAbbr","StateDesc","LocationName","DataSource","Category","Measure","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","TotalPopulation","LocationID","CategoryID","MeasureId","DataValueTypeID","Short_Question_Text","Geolocation"
"2021","IL","Illinois","Henderson","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","80.7",,,"76.1","84.8","6,312","17071","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-90.9412464 40.814471)"
"2021","MO","Missouri","Oregon","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","77.3",,,"72.3","81.6","8,631","29149","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-91.4018272 36.6853104)"
"2021","AR","Arkansas","Jackson","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","77.6",,,"72.9","81.8","16,811","05067","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-91.2232051 35.5964674)"
"2021","ND","North Dakota","McHenry","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","73.2",,,"68.2","77.7","5,249","38049","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-100.6332668 48.2338417)"
"2021","KY","Kentucky","Lewis","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","76",,,"70.9","80.8","12,987","21135","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-83.3701427 38.5350468)"
"2021","KS","Kansas","Pratt","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","73.1",,,"68.2","77.4","9,181","20151","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-98.7401199 37.6475943)"
"2021","IL","Illinois","Tazewell","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","77.1",,,"72.1","81.7","130,413","17179","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-89.5162598 40.5080743)"
"2021","NH","New Hampshire","Rockingham","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","75.2",,,"71.7","78.6","316,947","33015","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-71.0990801 42.9886636)"
"2021","OR","Oregon","Clatsop","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","66.6",,,"60.8","72.0","41,810","41007","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-123.7050366 46.0245094)"
"2021","MO","Missouri","Taney","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","76.8",,,"72.0","81.1","56,387","29213","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-93.0428188 36.6498267)"
