"Year","StateAbbr","StateDesc","LocationName","DataSource","Category","Measure","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","TotalPopulation","TotalPop18plus","LocationID","CategoryID","MeasureId","DataValueTypeID","Short_Question_Text","Geolocation"
"2023","AR","Arkansas","Yell","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Age-adjusted prevalence","75.1",,,"71.1","78.9","20,044","15,261","05149","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-93.4103078380225 35.002782920903)"
"2023","AR","Arkansas","Pope","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","76.5",,,"72.5","80.0","64,593","49,630","05115","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-93.034485700416 35.4480772563332)"
"2023","CA","California","Plumas","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Age-adjusted prevalence","70.2",,,"65.8","74.6","19,131","15,898","06063","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-120.838269553404 40.0042609776687)"
"2023","AK","Alaska","Chugach","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Age-adjusted prevalence","65.7",,,"61.1","70.0","6,769","5,268","02063","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-145.846670254475 60.7148095406379)"
"2023","AL","Alabama","Fayette","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","80.6",,,"77.0","84.0","15,967","12,532","01057","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-87.7389050506601 33.7211713531213)"
"2023","AL","Alabama","Walker","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","79.9",,,"76.3","83.2","64,728","49,914","01127","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-87.2978092396997 33.8031253577516)"
"2023","AR","Arkansas","Conway","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Age-adjusted prevalence","76.6",,,"72.5","80.1","21,077","16,337","05029","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-92.701239973211 35.2625436321328)"
"2023","AZ","Arizona","Gila","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Age-adjusted prevalence","71.1",,,"67.6","74.5","54,003","43,968","04007","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-110.812096582079 33.7999645115514)"
"2023","AK","Alaska","Nome","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","64.0",,,"59.3","68.3","9,763","6,487","02180","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-164.033919932189 64.9109901665876)"
"2023","AR","Arkansas","Dallas","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Age-adjusted prevalence","78.1",,,"74.3","81.5","6,185","4,934","05039","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-92.6542603960231 33.9697415127666)"
