"Year","LocationName","DataSource","Category","Measure","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","TotalPopulation","Geolocation","LocationID","CategoryID","MeasureId","DataValueTypeID","Short_Question_Text"
"2020","03293","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","76.4",,,"75.2","77.7","143","POINT (-71.67790414 43.96826552)","03293","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2020","03824","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","69.3",,,"67.6","70.8","14,638","POINT (-70.91668401 43.10934952)","03824","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2020","04675","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","76.8",,,"76.0","77.7","253","POINT (-68.25228651 44.30493908)","04675","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2020","05062","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","71.5",,,"70.3","72.5","702","POINT (-72.59241333 43.49790068)","05062","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2020","05456","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","71.0",,,"69.8","72.1","1,277","POINT (-73.25507879 44.20763259)","05456","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2020","06226","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","74.7",,,"73.9","75.3","20,114","POINT (-72.20733559 41.70843799)","06226","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2020","11205","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","75.9",,,"75.7","76.2","40,366","POINT (-73.96625498 40.69465833)","11205","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2020","15492","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","78.2",,,"76.9","79.6","108","POINT (-79.76232007 40.11942274)","15492","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2020","16506","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","77.3",,,"76.9","77.7","23,720","POINT (-80.13614125 42.06629065)","16506","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2020","16727","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","77.8",,,"76.8","78.8","211","POINT (-78.517304 41.98493401)","16727","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
