Year,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,TotalPop18plus,TotalPopulation,Geolocation,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text
2022,77493,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults,%,Crude prevalence,72,,,69.2,74.6,36734,51774,POINT (-95.831457 29.8532173),77493,PREVENT,CHECKUP,CrdPrv,Annual Checkup
2022,77494,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults,%,Crude prevalence,74.3,,,70.6,77.8,88170,130872,POINT (-95.8155361 29.744657),77494,PREVENT,CHECKUP,CrdPrv,Annual Checkup
2022,77498,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults,%,Crude prevalence,75.6,,,71.7,79.4,39263,51472,POINT (-95.6558192 29.6409811),77498,PREVENT,CHECKUP,CrdPrv,Annual Checkup
2022,77502,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults,%,Crude prevalence,69,,,65.9,72,26561,37495,POINT (-95.1995906 29.6798536),77502,PREVENT,CHECKUP,CrdPrv,Annual Checkup
2022,77503,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults,%,Crude prevalence,70.1,,,67,73,18085,24956,POINT (-95.157031 29.6905957),77503,PREVENT,CHECKUP,CrdPrv,Annual Checkup
2022,77504,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults,%,Crude prevalence,71.1,,,68.1,73.9,18742,25728,POINT (-95.1897803 29.6479156),77504,PREVENT,CHECKUP,CrdPrv,Annual Checkup
2022,77505,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults,%,Crude prevalence,72.3,,,69.3,75,18190,23584,POINT (-95.1414988 29.6483375),77505,PREVENT,CHECKUP,CrdPrv,Annual Checkup
2022,77506,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults,%,Crude prevalence,68.3,,,65.2,71.4,24115,34431,POINT (-95.1911261 29.7183868),77506,PREVENT,CHECKUP,CrdPrv,Annual Checkup
2022,77507,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults,%,Crude prevalence,66.5,,,63.2,69.7,710,770,POINT (-95.0634646 29.6243709),77507,PREVENT,CHECKUP,CrdPrv,Annual Checkup
2022,77510,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults,%,Crude prevalence,72.9,,,69,76.5,11149,14357,POINT (-95.0916179 29.3488713),77510,PREVENT,CHECKUP,CrdPrv,Annual Checkup
2022,77511,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults,%,Crude prevalence,71.8,,,68.6,74.7,38392,51093,POINT (-95.2451935 29.3807632),77511,PREVENT,CHECKUP,CrdPrv,Annual Checkup
2022,77514,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults,%,Crude prevalence,74.4,,,70.2,78.4,3749,4926,POINT (-94.6259022 29.6880456),77514,PREVENT,CHECKUP,CrdPrv,Annual Checkup
2022,77515,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults,%,Crude prevalence,72.4,,,69,75.4,24728,32710,POINT (-95.4515451 29.1734391),77515,PREVENT,CHECKUP,CrdPrv,Annual Checkup
2022,77517,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults,%,Crude prevalence,71.8,,,67.8,75.5,4673,6058,POINT (-95.1408102 29.3595257),77517,PREVENT,CHECKUP,CrdPrv,Annual Checkup
2022,77518,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults,%,Crude prevalence,70.3,,,66.1,74.2,7124,9689,POINT (-94.986711 29.5051825),77518,PREVENT,CHECKUP,CrdPrv,Annual Checkup
2022,77519,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults,%,Crude prevalence,73.7,,,69.6,77.3,679,882,POINT (-94.5750585 30.2183232),77519,PREVENT,CHECKUP,CrdPrv,Annual Checkup
2022,77520,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults,%,Crude prevalence,71.3,,,68.2,74.1,28093,38587,POINT (-95.0008472 29.7367157),77520,PREVENT,CHECKUP,CrdPrv,Annual Checkup
2022,77521,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults,%,Crude prevalence,71.2,,,68.3,73.9,46931,65058,POINT (-94.9627399 29.8118713),77521,PREVENT,CHECKUP,CrdPrv,Annual Checkup
2022,77523,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults,%,Crude prevalence,72.1,,,67.8,76.3,19385,27638,POINT (-94.8657594 29.7663032),77523,PREVENT,CHECKUP,CrdPrv,Annual Checkup
2022,77530,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults,%,Crude prevalence,69.1,,,65.9,72,24427,35319,POINT (-95.1139874 29.7893557),77530,PREVENT,CHECKUP,CrdPrv,Annual Checkup
2022,77531,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults,%,Crude prevalence,70.3,,,66.8,73.5,11474,15666,POINT (-95.4019373 29.0388553),77531,PREVENT,CHECKUP,CrdPrv,Annual Checkup
2022,77532,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults,%,Crude prevalence,72.6,,,69.6,75.4,25146,34679,POINT (-95.057219 29.932894),77532,PREVENT,CHECKUP,CrdPrv,Annual Checkup
2022,77533,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults,%,Crude prevalence,72.6,,,68.4,76.8,683,980,POINT (-94.5995566 30.0871719),77533,PREVENT,CHECKUP,CrdPrv,Annual Checkup
2022,77534,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults,%,Crude prevalence,71.8,,,68.4,74.9,2180,2998,POINT (-95.3111931 29.2151626),77534,PREVENT,CHECKUP,CrdPrv,Annual Checkup
2022,77535,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults,%,Crude prevalence,72.1,,,68.1,75.9,27815,36494,POINT (-94.9223165 30.0548442),77535,PREVENT,CHECKUP,CrdPrv,Annual Checkup
2022,77536,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults,%,Crude prevalence,72.3,,,69.4,75.1,25181,33693,POINT (-95.1165308 29.691659),77536,PREVENT,CHECKUP,CrdPrv,Annual Checkup
2022,77538,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults,%,Crude prevalence,75.4,,,71.5,79.2,600,809,POINT (-94.5229423 29.9741671),77538,PREVENT,CHECKUP,CrdPrv,Annual Checkup
