State,County,Metric,Category,Count
Texas,"Frio County, TX",Facility Type,All,3037
Texas,"Frio County, TX",Facility Type,Other Facility Type,3037
Texas,"Frio County, TX",Facility Type (Detailed),All,3037
Texas,"Frio County, TX",Facility Type (Detailed),Contract Detention Facility: owned by private company/under govt contract,1996
Texas,"Frio County, TX",Facility Type (Detailed),Family: a facility in which families are detained together,1041
Texas,"Frio County, TX",Facility Operator,All,3037
Texas,"Frio County, TX",Facility Operator,"GEO Group, Inc",1996
Texas,"Frio County, TX",Facility Operator,CORECIVIC,1041
Texas,"Frio County, TX",Facility Owner,All,3037
Texas,"Frio County, TX",Facility Owner,"GEO Group, Inc",1996
Texas,"Frio County, TX",Facility Owner,County,1041
Texas,"Frio County, TX",Entered ICE Custody by Month,All,3037
Texas,"Frio County, TX",Entered ICE Custody by Month,,1897
Texas,"Frio County, TX",Entered ICE Custody by Month,2019-07,405
Texas,"Frio County, TX",Entered ICE Custody by Month,2019-08,336
Texas,"Frio County, TX",Entered ICE Custody by Month,2019-06,215
Texas,"Frio County, TX",Entered ICE Custody by Month,2019-04,44
Texas,"Frio County, TX",Entered ICE Custody by Month,2019-05,41
Texas,"Frio County, TX",Entered ICE Custody by Month,2019-03,17
Texas,"Frio County, TX",Entered ICE Custody by Month,2018-12,17
Texas,"Frio County, TX",Entered ICE Custody by Month,2019-01,13
Texas,"Frio County, TX",Entered ICE Custody by Month,2019-02,12
Texas,"Frio County, TX",Entered ICE Custody by Month,2018-10,11
Texas,"Frio County, TX",Entered ICE Custody by Month,2018-11,11
Texas,"Frio County, TX",Entered ICE Custody by Month,2018-09,3
Texas,"Frio County, TX",Entered ICE Custody by Month,2018-08,3
Texas,"Frio County, TX",Entered ICE Custody by Month,2017-12,2
Texas,"Frio County, TX",Entered ICE Custody by Month,2018-06,2
Texas,"Frio County, TX",Entered ICE Custody by Month,2018-03,1
Texas,"Frio County, TX",Entered ICE Custody by Month,2018-02,1
Texas,"Frio County, TX",Entered ICE Custody by Month,2018-07,1
Texas,"Frio County, TX",Entered ICE Custody by Month,2017-11,1
Texas,"Frio County, TX",Entered ICE Custody by Month,2017-06,1
Texas,"Frio County, TX",Entered ICE Custody by Month,2017-02,1
Texas,"Frio County, TX",Entered ICE Custody by Month,2017-01,1
Texas,"Frio County, TX",Entered ICE Custody by Month,2016-12,1
Texas,"Frio County, TX",Time in U.S.,All,3037
Texas,"Frio County, TX",Time in U.S.,Up to 1 year,2398
Texas,"Frio County, TX",Time in U.S.,Not Known,370
Texas,"Frio County, TX",Time in U.S.,Between 1 and 2 years,54
Texas,"Frio County, TX",Time in U.S.,Between 10 and 15 years,42
Texas,"Frio County, TX",Time in U.S.,Between 15 and 20 years,27
Texas,"Frio County, TX",Time in U.S.,20 years or more,26
Texas,"Frio County, TX",Time in U.S.,Between 3 and 4 years,25
Texas,"Frio County, TX",Time in U.S.,Between 2 and 3 years,23
Texas,"Frio County, TX",Time in U.S.,Between 4 and 5 years,18
Texas,"Frio County, TX",Time in U.S.,Between 5 and 6 years,16
Texas,"Frio County, TX",Time in U.S.,Between 9 and 10 years,14
Texas,"Frio County, TX",Time in U.S.,Between 6 and 7 years,10
Texas,"Frio County, TX",Time in U.S.,Between 8 and 9 years,9
Texas,"Frio County, TX",Time in U.S.,Between 7 and 8 years,5
Texas,"Frio County, TX",Legal Permanent Resident,All,3037
Texas,"Frio County, TX",Legal Permanent Resident,No,3029
Texas,"Frio County, TX",Legal Permanent Resident,Yes,8
Texas,"Frio County, TX",Asylum Seeker/Refugee,All,3037
Texas,"Frio County, TX",Asylum Seeker/Refugee,No,2877
Texas,"Frio County, TX",Asylum Seeker/Refugee,Yes,160
Texas,"Frio County, TX",Most Serious Criminal Conviction,All,3037
Texas,"Frio County, TX",Most Serious Criminal Conviction,No Conviction,2289
Texas,"Frio County, TX",Most Serious Criminal Conviction,"Illegal Entry (INA SEC.101(a)(43)(O), 8USC1325 only)",318
Texas,"Frio County, TX",Most Serious Criminal Conviction,Driving Under Influence Liquor,117
Texas,"Frio County, TX",Most Serious Criminal Conviction,Assault,38
Texas,"Frio County, TX",Most Serious Criminal Conviction,Traffic Offense,30
Texas,"Frio County, TX",Most Serious Criminal Conviction,Marijuana - Possession,19
Texas,"Frio County, TX",Most Serious Criminal Conviction,Larceny,18
Texas,"Frio County, TX",Most Serious Criminal Conviction,Dangerous Drugs,18
Texas,"Frio County, TX",Most Serious Criminal Conviction,"Illegal Re-Entry (INA SEC.101(a)(43)(O), 8USC1326 only)",14
Texas,"Frio County, TX",Most Serious Criminal Conviction,Public Order Crimes,12
Texas,"Frio County, TX",Most Serious Criminal Conviction,Domestic Violence,9
Texas,"Frio County, TX",Most Serious Criminal Conviction,Resisting Officer,9
Texas,"Frio County, TX",Most Serious Criminal Conviction,Burglary,8
Texas,"Frio County, TX",Most Serious Criminal Conviction,Hit and Run,7
Texas,"Frio County, TX",Most Serious Criminal Conviction,Aggravated Assault - Weapon,6
Texas,"Frio County, TX",Most Serious Criminal Conviction,Drug Possession,6
Texas,"Frio County, TX",Most Serious Criminal Conviction,Trespassing,5
Texas,"Frio County, TX",Most Serious Criminal Conviction,Fraud,5
Texas,"Frio County, TX",Most Serious Criminal Conviction,Obstruct Police,4
Texas,"Frio County, TX",Most Serious Criminal Conviction,Possession Of Weapon,4
Texas,"Frio County, TX",Most Serious Criminal Conviction,Weapon Offense,4
Texas,"Frio County, TX",Most Serious Criminal Conviction,Immigration (Possess of Fraud. Immigration Docs),4
Texas,"Frio County, TX",Most Serious Criminal Conviction,Aggravated Assault - Police Officer-Strongarm,3
Texas,"Frio County, TX",Most Serious Criminal Conviction,Carrying Prohibited Weapon,3
Texas,"Frio County, TX",Most Serious Criminal Conviction,Cocaine - Possession,3
Texas,"Frio County, TX",Most Serious Criminal Conviction,Public Peace,3
Texas,"Frio County, TX",Most Serious Criminal Conviction,Forgery,3
Texas,"Frio County, TX",Most Serious Criminal Conviction,Drug Trafficking,3
Texas,"Frio County, TX",Most Serious Criminal Conviction,Sex Assault,3
Texas,"Frio County, TX",Most Serious Criminal Conviction,Kidnapping,3
Texas,"Frio County, TX",Most Serious Criminal Conviction,Aggravated Assault - Family-Strongarm,2
Texas,"Frio County, TX",Most Serious Criminal Conviction,Licensing Violation,2
Texas,"Frio County, TX",Most Serious Criminal Conviction,Assembly - Unlawful,2
Texas,"Frio County, TX",Most Serious Criminal Conviction,Crimes Against Person,2
Texas,"Frio County, TX",Most Serious Criminal Conviction,Sex Offense Against Child-Fondling,2
Texas,"Frio County, TX",Most Serious Criminal Conviction,Cocaine - Sell,2
Texas,"Frio County, TX",Most Serious Criminal Conviction,Amphetamine - Possession,2
Texas,"Frio County, TX",Most Serious Criminal Conviction,Aggravated Assault - Family-Weapon,2
Texas,"Frio County, TX",Most Serious Criminal Conviction,Fraud - False Statement,2
Texas,"Frio County, TX",Most Serious Criminal Conviction,Robbery,2
Texas,"Frio County, TX",Most Serious Criminal Conviction,Marijuana (describe offense),2
Texas,"Frio County, TX",Most Serious Criminal Conviction,Violation of a Court Order,2
Texas,"Frio County, TX",Most Serious Criminal Conviction,Fraud - Impersonating,2
Texas,"Frio County, TX",Most Serious Criminal Conviction,Making False Report,2
Texas,"Frio County, TX",Most Serious Criminal Conviction,Unauthorized Use of Vehicle (includes joy riding),2
Texas,"Frio County, TX",Most Serious Criminal Conviction,Fraud - Illegal Use Credit Cards,2
Texas,"Frio County, TX",Most Serious Criminal Conviction,Smuggling Aliens,2
Texas,"Frio County, TX",Most Serious Criminal Conviction,Prostitution,2
Texas,"Frio County, TX",Most Serious Criminal Conviction,Marijuana - Sell,1
Texas,"Frio County, TX",Most Serious Criminal Conviction,Battery,1
Texas,"Frio County, TX",Most Serious Criminal Conviction,Harassing Communication,1
Texas,"Frio County, TX",Most Serious Criminal Conviction,Homicide,1
Texas,"Frio County, TX",Most Serious Criminal Conviction,Robbery - Business Weapon,1
Texas,"Frio County, TX",Most Serious Criminal Conviction,Heroin - Possession,1
Texas,"Frio County, TX",Most Serious Criminal Conviction,Marijuana,1
Texas,"Frio County, TX",Most Serious Criminal Conviction,Marijuana - Smuggle,1
Texas,"Frio County, TX",Most Serious Criminal Conviction,Possession Counterfeited (identify in comments),1
Texas,"Frio County, TX",Most Serious Criminal Conviction,Harboring Escapee/Fugitive,1
Texas,"Frio County, TX",Most Serious Criminal Conviction,Lewd or Lascivious Acts with Minor,1
Texas,"Frio County, TX",Most Serious Criminal Conviction,Shoplifting,1
Texas,"Frio County, TX",Most Serious Criminal Conviction,Threat Terroristic State Offenses,1
Texas,"Frio County, TX",Most Serious Criminal Conviction,Neglect Child,1
Texas,"Frio County, TX",Most Serious Criminal Conviction,Flight - Escape,1
Texas,"Frio County, TX",Most Serious Criminal Conviction,Aggravated Assault - Non-family-Weapon,1
Texas,"Frio County, TX",Most Serious Criminal Conviction,Homicide-Negligent Manslaughter-Vehicle,1
