State,County,Metric,Category,Count
Texas,"Frio County, TX",Facility Type,All,3102
Texas,"Frio County, TX",Facility Type,Other Facility Type,3101
Texas,"Frio County, TX",Facility Type,INS Facility,1
Texas,"Frio County, TX",Facility Type (Detailed),All,3102
Texas,"Frio County, TX",Facility Type (Detailed),Contract Detention Facility: owned by private company/under govt contract,1794
Texas,"Frio County, TX",Facility Type (Detailed),Family: a facility in which families are detained together,1307
Texas,"Frio County, TX",Facility Type (Detailed),Hold: a holding facility,1
Texas,"Frio County, TX",Facility Operator,All,3102
Texas,"Frio County, TX",Facility Operator,"GEO Group, Inc",1794
Texas,"Frio County, TX",Facility Operator,CORECIVIC,1307
Texas,"Frio County, TX",Facility Operator,Not defined,1
Texas,"Frio County, TX",Facility Owner,All,3102
Texas,"Frio County, TX",Facility Owner,"GEO Group, Inc",1794
Texas,"Frio County, TX",Facility Owner,County,1307
Texas,"Frio County, TX",Facility Owner,Not defined,1
Texas,"Frio County, TX",Entered ICE Custody by Month,All,3102
Texas,"Frio County, TX",Entered ICE Custody by Month,2018-07,1265
Texas,"Frio County, TX",Entered ICE Custody by Month,2018-08,801
Texas,"Frio County, TX",Entered ICE Custody by Month,2018-06,443
Texas,"Frio County, TX",Entered ICE Custody by Month,2018-05,261
Texas,"Frio County, TX",Entered ICE Custody by Month,2018-04,79
Texas,"Frio County, TX",Entered ICE Custody by Month,2018-03,78
Texas,"Frio County, TX",Entered ICE Custody by Month,2018-02,53
Texas,"Frio County, TX",Entered ICE Custody by Month,2018-01,25
Texas,"Frio County, TX",Entered ICE Custody by Month,2017-12,22
Texas,"Frio County, TX",Entered ICE Custody by Month,2017-10,14
Texas,"Frio County, TX",Entered ICE Custody by Month,2017-11,10
Texas,"Frio County, TX",Entered ICE Custody by Month,2017-05,7
Texas,"Frio County, TX",Entered ICE Custody by Month,2017-09,7
Texas,"Frio County, TX",Entered ICE Custody by Month,2017-08,6
Texas,"Frio County, TX",Entered ICE Custody by Month,2017-07,6
Texas,"Frio County, TX",Entered ICE Custody by Month,2017-06,5
Texas,"Frio County, TX",Entered ICE Custody by Month,2017-01,5
Texas,"Frio County, TX",Entered ICE Custody by Month,2016-12,3
Texas,"Frio County, TX",Entered ICE Custody by Month,2017-02,2
Texas,"Frio County, TX",Entered ICE Custody by Month,2017-03,2
Texas,"Frio County, TX",Entered ICE Custody by Month,2017-04,2
Texas,"Frio County, TX",Entered ICE Custody by Month,2016-11,1
Texas,"Frio County, TX",Entered ICE Custody by Month,2016-10,1
Texas,"Frio County, TX",Entered ICE Custody by Month,2016-05,1
Texas,"Frio County, TX",Entered ICE Custody by Month,2016-02,1
Texas,"Frio County, TX",Entered ICE Custody by Month,2015-11,1
Texas,"Frio County, TX",Entered ICE Custody by Month,2015-02,1
Texas,"Frio County, TX",Time in U.S.,All,3102
Texas,"Frio County, TX",Time in U.S.,Up to 1 year,2106
Texas,"Frio County, TX",Time in U.S.,Not Known,678
Texas,"Frio County, TX",Time in U.S.,Between 10 and 15 years,53
Texas,"Frio County, TX",Time in U.S.,Between 1 and 2 years,51
Texas,"Frio County, TX",Time in U.S.,20 years or more,36
Texas,"Frio County, TX",Time in U.S.,Between 2 and 3 years,34
Texas,"Frio County, TX",Time in U.S.,Between 15 and 20 years,33
Texas,"Frio County, TX",Time in U.S.,Between 4 and 5 years,24
Texas,"Frio County, TX",Time in U.S.,Between 3 and 4 years,22
Texas,"Frio County, TX",Time in U.S.,Between 5 and 6 years,17
Texas,"Frio County, TX",Time in U.S.,Between 6 and 7 years,15
Texas,"Frio County, TX",Time in U.S.,Between 7 and 8 years,15
Texas,"Frio County, TX",Time in U.S.,Between 8 and 9 years,10
Texas,"Frio County, TX",Time in U.S.,Between 9 and 10 years,8
Texas,"Frio County, TX",Legal Permanent Resident,All,3102
Texas,"Frio County, TX",Legal Permanent Resident,No,3102
Texas,"Frio County, TX",Asylum Seeker/Refugee,All,3102
Texas,"Frio County, TX",Asylum Seeker/Refugee,No,3102
Texas,"Frio County, TX",Most Serious Criminal Conviction,All,3102
Texas,"Frio County, TX",Most Serious Criminal Conviction,No Conviction,3102
