,count,unique,top,freq,mean,min,25%,50%,75%,max,std
year,193858.0,,,,2020.4868460419482,2018.0,2019.0,2020.0,2022.0,2023.0,1.6996908104085953
doctor_visits_past_year,193858.0,,,,75.647444005406,44.6,73.1,76.4,78.9,95.8,4.745494987297829
totalpopulation,193858.0,,,,10340.76041226052,50.0,834.0,3209.0,14838.0,135256.0,14619.783945099522
geolocation,193858,64960,POINT (-111.5220615 32.62334066),94,,,,,,,
zcta5,193858,32977,85131,160,,,,,,,
analysis_year,193858.0,,,,2020.4868460419482,2018.0,2019.0,2020.0,2022.0,2023.0,1.699690810410262
acs_year,193755.0,,,,2020.4865526050942,2018.0,2019.0,2020.0,2022.0,2023.0,1.7000829606847305
pct_white,193159.0,142130.0,1.0,15499.0,,,,,,,
pct_black,193159.0,112279.0,0.0,57208.0,,,,,,,
pct_asian,193159.0,95361.0,0.0,73932.0,,,,,,,
pct_two_plus,193159.0,125304.0,0.0,28670.0,,,,,,,
pct_other_race,193159.0,114420.0,0.0,47159.0,,,,,,,
pct_hispanic_latino,193159.0,128051.0,0.0,32489.0,,,,,,,
pct_non_hispanic_latino,193159.0,128051.0,1.0,32489.0,,,,,,,
pct_naturalized,193159.0,111008.0,0.0,45873.0,,,,,,,
pct_non_citizen,193159.0,108755.0,0.0,53027.0,,,,,,,
pct_citizen,193159.0,108755.0,1.0,53027.0,,,,,,,
median_household_income,193720.0,,,,-39799067.80689139,-666666666.0,45416.0,58804.0,76382.25,250001.0,158084172.0077483
pct_below_poverty,191797.0,143655.0,0.0,7638.0,,,,,,,
pct_bachelors_plus,192945.0,139636.0,0.0,5148.0,,,,,,,
pct_high_school_or_higher,192945.0,132335.0,1.0,8925.0,,,,,,,
pct_unemployed,191962.0,108673.0,0.0,22671.0,,,,,,,
pct_rent_burdened_30_plus,184334.0,79284.0,0.0,17400.0,,,,,,,
pct_no_internet,191586.0,120125.0,0.0,7810.0,,,,,,,
pct_no_vehicle,191552.0,101974.0,0.0,27261.0,,,,,,,
city,185211,18890,Houston,504,,,,,,,
average_daily_population,193858.0,,,,8.206326280060663,0.0,0.0,0.0,0.0,2050.0,69.95904293847667
current_as_of,193858,,,,2024-05-29 18:36:05.816216320,2019-09-30 00:00:00,2023-08-25 00:00:00,2023-08-25 00:00:00,2025-12-12 00:00:00,2026-03-10 00:00:00,
month,193858.0,,,,7.642057588544192,1.0,7.0,8.0,8.0,12.0,2.6540201394747776
