"Year","StateAbbr","StateDesc","LocationName","DataSource","Category","Measure","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","TotalPopulation","Latitude","CategoryID","MeasureId","DataValueTypeID","Short_Question_Text","Geolocatioin"
"2018","US","United States",,"BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","76.7",,,"76.4","76.9","327,167,434",,"PREVENT","CHECKUP","CrdPrv","Annual Checkup",
"2018","US","United States",,"BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","75.1",,,"74.8","75.4","327,167,434",,"PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup",
"2018","AL","Alabama","Autauga","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","78.4",,,"77.5","79.1","55,601","32.5350198","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-86.64301145 32.5350198)"
"2018","AL","Alabama","Autauga","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","77",,,"76.1","77.9","55,601","32.5350198","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-86.64301145 32.5350198)"
"2018","AL","Alabama","Baldwin","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","78.6",,,"77.8","79.3","218,022","30.72811673","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-87.72275422 30.72811673)"
"2018","AL","Alabama","Baldwin","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","75.7",,,"74.8","76.6","218,022","30.72811673","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-87.72275422 30.72811673)"
"2018","AL","Alabama","Barbour","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","80.3",,,"79.7","81.0","24,881","31.86925212","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-85.39330307 31.86925212)"
"2018","AL","Alabama","Barbour","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","78.5",,,"77.8","79.3","24,881","31.86925212","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-85.39330307 31.86925212)"
"2018","AL","Alabama","Bibb","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","77.5",,,"76.7","78.3","22,400","32.99854412","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-87.12653219 32.99854412)"
"2018","AL","Alabama","Bibb","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","76.3",,,"75.4","77.1","22,400","32.99854412","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-87.12653219 32.99854412)"
"2018","AL","Alabama","Blount","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","76.6",,,"75.6","77.5","57,840","33.98070621","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-86.56784586 33.98070621)"
"2018","AL","Alabama","Blount","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","74.2",,,"73.1","75.3","57,840","33.98070621","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-86.56784586 33.98070621)"
"2018","AL","Alabama","Bullock","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","81",,,"80.3","81.7","10,138","32.10044482","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-85.71563262 32.10044482)"
"2018","AL","Alabama","Bullock","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","79.8",,,"79.0","80.6","10,138","32.10044482","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-85.71563262 32.10044482)"
"2018","AL","Alabama","Butler","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","80.6",,,"80.0","81.2","19,680","31.75259734","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-86.68030416 31.75259734)"
"2018","AL","Alabama","Butler","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","78.2",,,"77.5","79.0","19,680","31.75259734","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-86.68030416 31.75259734)"
"2018","AL","Alabama","Calhoun","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","78.8",,,"78.0","79.5","114,277","33.77170768","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-85.82579874 33.77170768)"
"2018","AL","Alabama","Calhoun","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","77",,,"76.2","77.9","114,277","33.77170768","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-85.82579874 33.77170768)"
"2018","AL","Alabama","Chambers","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","80.6",,,"80.0","81.2","33,615","32.91401536","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-85.39238495 32.91401536)"
"2018","AL","Alabama","Chambers","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","78.4",,,"77.7","79.1","33,615","32.91401536","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-85.39238495 32.91401536)"
"2018","AL","Alabama","Cherokee","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","78.5",,,"77.5","79.4","26,032","34.17572884","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-85.60387093 34.17572884)"
"2018","AL","Alabama","Cherokee","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","74.7",,,"73.6","75.8","26,032","34.17572884","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-85.60387093 34.17572884)"
"2018","AL","Alabama","Chilton","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","76.5",,,"75.7","77.4","44,153","32.84755922","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-86.71886671 32.84755922)"
"2018","AL","Alabama","Chilton","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","74.7",,,"73.7","75.6","44,153","32.84755922","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-86.71886671 32.84755922)"
"2018","AL","Alabama","Choctaw","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","81.5",,,"80.8","82.1","12,841","32.020526","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-88.26304964 32.020526)"
"2018","AL","Alabama","Choctaw","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","78",,,"77.2","78.8","12,841","32.020526","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-88.26304964 32.020526)"
"2018","AL","Alabama","Clarke","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","81.2",,,"80.6","81.8","23,920","31.67753092","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-87.83050953 31.67753092)"
"2018","AL","Alabama","Clarke","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","78.8",,,"78.1","79.5","23,920","31.67753092","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-87.83050953 31.67753092)"
"2018","AL","Alabama","Clay","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","78.6",,,"77.7","79.5","13,275","33.26916978","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-85.86076142 33.26916978)"
"2018","AL","Alabama","Clay","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","75.6",,,"74.6","76.7","13,275","33.26916978","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-85.86076142 33.26916978)"
"2018","AL","Alabama","Cleburne","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","76.7",,,"75.7","77.7","14,987","33.67451857","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-85.51894991 33.67451857)"
"2018","AL","Alabama","Cleburne","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","73.9",,,"72.8","75.1","14,987","33.67451857","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-85.51894991 33.67451857)"
"2018","AL","Alabama","Coffee","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","78.4",,,"77.7","79.1","51,909","31.40188396","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-85.98828821 31.40188396)"
"2018","AL","Alabama","Coffee","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Age-adjusted prevalence","76.7",,,"75.9","77.5","51,909","31.40188396","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-85.98828821 31.40188396)"
"2018","AL","Alabama","Colbert","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults aged >=18 years","%","Crude prevalence","78.4",,,"77.6","79.2","54,762","34.70084917","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-87.80480288 34.70084917)"
