"Year","StateAbbr","StateDesc","LocationName","DataSource","Category","Measure","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","TotalPopulation","TotalPop18plus","LocationID","CategoryID","MeasureId","DataValueTypeID","Short_Question_Text","Geolocation"
"2022","CA","California","Mendocino","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Age-adjusted prevalence","68.6",,,"64.0","72.9","89,783","71,066","06045","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-123.391321827245 39.4403114811983)"
"2022","AK","Alaska","Chugach","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Age-adjusted prevalence","62.2",,,"57.6","67.0","6,874","5,338","02063","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-145.846670254475 60.7148095406379)"
"2022","AL","Alabama","Fayette","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","79.0",,,"75.3","82.5","16,118","12,706","01057","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-87.7389050506601 33.7211713531213)"
"2022","AL","Alabama","Walker","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","78.5",,,"74.8","82.0","64,339","49,952","01127","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-87.2978092396997 33.8031253577516)"
"2022","AZ","Arizona","Gila","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Age-adjusted prevalence","68.8",,,"65.0","72.4","53,922","43,714","04007","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-110.812096582079 33.7999645115514)"
"2022","AK","Alaska","Nome","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","62.8",,,"58.2","67.6","9,835","6,518","02180","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-164.033919932189 64.9109901665876)"
"2022","AR","Arkansas","Madison","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Age-adjusted prevalence","74.5",,,"70.2","78.4","17,486","13,373","05087","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-93.7242584115005 36.0113363272212)"
"2022","AZ","Arizona","Yuma","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","73.6",,,"70.0","77.0","207,842","155,973","04027","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-113.905997385394 32.7694427722845)"
"2022","AR","Arkansas","Jackson","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Age-adjusted prevalence","76.7",,,"72.7","80.3","16,624","13,317","05067","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-91.2146324874827 35.5993609746175)"
"2022","AR","Arkansas","Polk","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Age-adjusted prevalence","75.0",,,"70.7","79.0","19,337","15,084","05113","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-94.2282210393227 34.4858592435429)"
"2022","AR","Arkansas","Logan","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Age-adjusted prevalence","75.9",,,"71.5","79.7","21,253","16,839","05083","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-93.7171626255792 35.2148866321463)"
"2022","CA","California","Madera","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","68.5",,,"63.9","72.9","160,256","116,890","06039","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-119.762622561071 37.2181735184536)"
"2022","AL","Alabama","Choctaw","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Age-adjusted prevalence","78.4",,,"73.9","81.9","12,439","9,977","01023","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-88.2631706219377 32.0198224293383)"
"2022","AZ","Arizona","Maricopa","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Age-adjusted prevalence","71.3",,,"68.6","73.9","4,551,524","3,532,288","04013","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-112.491401814525 33.3490920459607)"
"2022","AL","Alabama","Jefferson","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","81.6",,,"78.8","84.3","665,409","515,688","01073","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-86.896632302754 33.554557948471)"
"2022","AK","Alaska","Ketchikan Gateway","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","67.5",,,"63.6","71.6","13,741","10,954","02130","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-130.936350933263 55.586579401666)"
"2022","AK","Alaska","Fairbanks North Star","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Age-adjusted prevalence","65.7",,,"62.0","69.2","95,356","73,021","02090","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-146.565627734256 64.8075316814407)"
"2022","CA","California","Monterey","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","69.1",,,"65.0","73.0","432,858","322,881","06053","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-121.238518915104 36.2170334850568)"
"2022","AK","Alaska","Sitka","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Age-adjusted prevalence","66.0",,,"61.4","70.4","8,382","6,754","02220","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-135.315163429465 57.2335274122738)"
"2022","AK","Alaska","Bethel","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","63.2",,,"58.7","67.4","18,257","11,844","02050","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-159.82324096097 60.9128860869079)"
"2022","CA","California","Riverside","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","70.5",,,"67.0","73.7","2,473,902","1,880,349","06065","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-115.994764890688 33.7437710409515)"
"2022","AL","Alabama","Limestone","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Age-adjusted prevalence","77.6",,,"73.7","81.2","110,900","86,794","01083","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-86.9814538074536 34.8102607960627)"
"2022","AL","Alabama","Wilcox","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Age-adjusted prevalence","80.6",,,"76.8","84.2","10,059","7,838","01131","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-87.3083095693845 31.9892939338512)"
"2022","AR","Arkansas","Clay","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Age-adjusted prevalence","74.7",,,"70.4","78.8","14,265","11,193","05021","PREVENT","CHECKUP","AgeAdjPrv","Annual Checkup","POINT (-90.4170776785868 36.3683675945226)"
"2022","AR","Arkansas","Cross","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","79.5",,,"75.8","82.9","16,601","12,703","05037","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-90.7714945147511 35.2958747021642)"
