"Year","LocationName","DataSource","Category","Measure","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","TotalPop18plus","TotalPopulation","Geolocation","LocationID","CategoryID","MeasureId","DataValueTypeID","Short_Question_Text"
"2023","01001","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","81.9",,,"79.2","84.3","14,019","16,984","POINT (-72.6257536 42.0623678)","01001","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2023","01002","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","79.3",,,"76.1","82.2","23,853","27,558","POINT (-72.4647946 42.3772116)","01002","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2023","01003","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","71.6",,,"67.4","75.6","13,181","13,253","POINT (-72.5235844 42.3918827)","01003","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2023","01005","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","81.1",,,"78.6","83.5","3,889","4,900","POINT (-72.1120769 42.4188835)","01005","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2023","01007","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","82.2",,,"79.4","84.8","12,248","15,423","POINT (-72.4004088 42.2839351)","01007","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2023","01008","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","82.0",,,"79.4","84.4","1,099","1,317","POINT (-72.9640756 42.1920235)","01008","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2023","01009","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","79.6",,,"76.5","82.4","779","980","POINT (-72.3418086 42.2113859)","01009","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2023","01010","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","82.7",,,"80.1","85.2","3,021","3,711","POINT (-72.2053516 42.1281757)","01010","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2023","01011","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","81.6",,,"79.2","84.1","1,020","1,201","POINT (-72.9665164 42.2901276)","01011","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2023","01012","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","82.7",,,"80.0","85.4","440","519","POINT (-72.8581917 42.3754254)","01012","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
