State,County,Metric,Category,Count
Texas,"Frio County, TX",Facility Type,All,3187
Texas,"Frio County, TX",Facility Type,Other Facility Type,3187
Texas,"Frio County, TX",Facility Type (Detailed),All,3187
Texas,"Frio County, TX",Facility Type (Detailed),Contract Detention Facility: owned by private company/under govt contract,1786
Texas,"Frio County, TX",Facility Type (Detailed),Family: a facility in which families are detained together,1401
Texas,"Frio County, TX",Facility Operator,All,3187
Texas,"Frio County, TX",Facility Operator,"GEO Group, Inc",1786
Texas,"Frio County, TX",Facility Operator,CORECIVIC,1401
Texas,"Frio County, TX",Facility Owner,All,3187
Texas,"Frio County, TX",Facility Owner,"GEO Group, Inc",1786
Texas,"Frio County, TX",Facility Owner,County,1401
Texas,"Frio County, TX",Entered ICE Custody by Month,All,3187
Texas,"Frio County, TX",Entered ICE Custody by Month,2018-12,2162
Texas,"Frio County, TX",Entered ICE Custody by Month,2018-11,489
Texas,"Frio County, TX",Entered ICE Custody by Month,2018-10,193
Texas,"Frio County, TX",Entered ICE Custody by Month,2018-09,89
Texas,"Frio County, TX",Entered ICE Custody by Month,2018-08,67
Texas,"Frio County, TX",Entered ICE Custody by Month,2018-07,48
Texas,"Frio County, TX",Entered ICE Custody by Month,2018-06,32
Texas,"Frio County, TX",Entered ICE Custody by Month,2018-05,22
Texas,"Frio County, TX",Entered ICE Custody by Month,2018-03,15
Texas,"Frio County, TX",Entered ICE Custody by Month,2018-02,11
Texas,"Frio County, TX",Entered ICE Custody by Month,2017-12,10
Texas,"Frio County, TX",Entered ICE Custody by Month,2018-01,9
Texas,"Frio County, TX",Entered ICE Custody by Month,2018-04,9
Texas,"Frio County, TX",Entered ICE Custody by Month,2017-10,6
Texas,"Frio County, TX",Entered ICE Custody by Month,2017-11,5
Texas,"Frio County, TX",Entered ICE Custody by Month,2016-12,3
Texas,"Frio County, TX",Entered ICE Custody by Month,2017-01,3
Texas,"Frio County, TX",Entered ICE Custody by Month,2017-06,3
Texas,"Frio County, TX",Entered ICE Custody by Month,2017-07,2
Texas,"Frio County, TX",Entered ICE Custody by Month,2017-08,2
Texas,"Frio County, TX",Entered ICE Custody by Month,2017-09,2
Texas,"Frio County, TX",Entered ICE Custody by Month,2017-05,1
Texas,"Frio County, TX",Entered ICE Custody by Month,2017-03,1
Texas,"Frio County, TX",Entered ICE Custody by Month,2017-02,1
Texas,"Frio County, TX",Entered ICE Custody by Month,2016-05,1
Texas,"Frio County, TX",Entered ICE Custody by Month,2015-11,1
Texas,"Frio County, TX",Time in U.S.,All,3187
Texas,"Frio County, TX",Time in U.S.,Up to 1 year,2564
Texas,"Frio County, TX",Time in U.S.,Not Known,294
Texas,"Frio County, TX",Time in U.S.,Between 1 and 2 years,61
Texas,"Frio County, TX",Time in U.S.,Between 15 and 20 years,42
Texas,"Frio County, TX",Time in U.S.,Between 10 and 15 years,42
Texas,"Frio County, TX",Time in U.S.,Between 2 and 3 years,38
Texas,"Frio County, TX",Time in U.S.,20 years or more,38
Texas,"Frio County, TX",Time in U.S.,Between 3 and 4 years,26
Texas,"Frio County, TX",Time in U.S.,Between 6 and 7 years,23
Texas,"Frio County, TX",Time in U.S.,Between 4 and 5 years,20
Texas,"Frio County, TX",Time in U.S.,Between 5 and 6 years,15
Texas,"Frio County, TX",Time in U.S.,Between 8 and 9 years,13
Texas,"Frio County, TX",Time in U.S.,Between 9 and 10 years,6
Texas,"Frio County, TX",Time in U.S.,Between 7 and 8 years,5
Texas,"Frio County, TX",Legal Permanent Resident,All,3187
Texas,"Frio County, TX",Legal Permanent Resident,No,3173
Texas,"Frio County, TX",Legal Permanent Resident,Yes,14
Texas,"Frio County, TX",Asylum Seeker/Refugee,All,3187
Texas,"Frio County, TX",Asylum Seeker/Refugee,No,2915
Texas,"Frio County, TX",Asylum Seeker/Refugee,Yes,272
Texas,"Frio County, TX",Most Serious Criminal Conviction,All,3187
Texas,"Frio County, TX",Most Serious Criminal Conviction,No Conviction,2366
Texas,"Frio County, TX",Most Serious Criminal Conviction,"Illegal Entry (INA SEC.101(a)(43)(O), 8USC1325 only)",346
Texas,"Frio County, TX",Most Serious Criminal Conviction,Driving Under Influence Liquor,117
Texas,"Frio County, TX",Most Serious Criminal Conviction,Assault,47
Texas,"Frio County, TX",Most Serious Criminal Conviction,"Illegal Re-Entry (INA SEC.101(a)(43)(O), 8USC1326 only)",41
Texas,"Frio County, TX",Most Serious Criminal Conviction,Larceny,25
Texas,"Frio County, TX",Most Serious Criminal Conviction,Marijuana - Possession,21
Texas,"Frio County, TX",Most Serious Criminal Conviction,Traffic Offense,19
Texas,"Frio County, TX",Most Serious Criminal Conviction,Burglary,14
Texas,"Frio County, TX",Most Serious Criminal Conviction,Dangerous Drugs,13
Texas,"Frio County, TX",Most Serious Criminal Conviction,Domestic Violence,12
Texas,"Frio County, TX",Most Serious Criminal Conviction,Resisting Officer,10
Texas,"Frio County, TX",Most Serious Criminal Conviction,Hit and Run,10
Texas,"Frio County, TX",Most Serious Criminal Conviction,Public Order Crimes,10
Texas,"Frio County, TX",Most Serious Criminal Conviction,Aggravated Assault - Weapon,8
Texas,"Frio County, TX",Most Serious Criminal Conviction,Obstruct Police,8
Texas,"Frio County, TX",Most Serious Criminal Conviction,Carrying Prohibited Weapon,7
Texas,"Frio County, TX",Most Serious Criminal Conviction,Threat Terroristic State Offenses,7
Texas,"Frio County, TX",Most Serious Criminal Conviction,Cocaine - Possession,5
Texas,"Frio County, TX",Most Serious Criminal Conviction,Smuggling Aliens,5
